"job_id","job_title","job_description","company_id","company_name","job_url","job_location","company_size","founded_year","company_sector","country"
"1009286631273","Full Stack Engineer","Join our Prudential Risk Technology team as we work on several projects to deliver strategic solutions including New Application Development . At Macquarie our advantage is bringing together diverse people and empowering them to shape all kinds of possibilities . We are a global financial services group operating in 34 markets and with 54 years of unbroken profitability . Youll be part of a friendly and supportive team where everyone no matter what role contributes ideas and drives outcomes . What role you will play As Full Stack Engineer you will be involved in design development testing unit and automation implementation and maintenance of software solutions with a focus on quality and DevOps principles . You will be exposed to new serverless based solutions microservice architecture and expanding brand new applications in the Cloud while supporting solutions that you build in production . This includes coordinating the resolution of High and Medium severity incidents . What you offer Hands on experience in Core and Enterprise Java 1 . 8 preferred SDLC tools experience e . g . Bamboo JIRA GIT Confluence Understanding of microservices architecture Exposure to writing effective Unit Tests RDBMS SQL and JPA experience Skills in UNIX scripting Hands on experience with Spring and Spring Boot Understanding of AWS Cloud Experience working on Projects with Low Code Applications like Power Apps Unqork or SAS is advantageous . We love hearing from anyone inspired to build a better future with us if you are excited about the role or working at Macquarie we encourage you to apply . About Technology Technology enables every aspect of our business for our people our customers and our communities . Bring your unique perspective and join a global team who is passionate about accelerating the digital enterprise connecting people and data building platforms and applications and designing tomorrows technology solutions . Benefits Macquarie employees can access a wide range of benefits which depending on eligibility criteria include Hybrid and flexible working arrangements One wellbeing leave day per year and up to five additional days leave based on length of service Up to 20 weeks paid parental leave as well as benefits to support you as you transition to life as a working parent Paid volunteer leave and donation matching Range of benefits to support your physical psychological and financial wellbeing Access to a wide range of learning and development opportunities Our commitment to diversity equity and inclusion We are committed to providing a working environment that embraces diversity equity and inclusion . We encourage people from all backgrounds to apply for a role regardless of their identity including gender race ethnicity cultural identity nationality age sexual orientation gender identity intersex status marital or family status neurodiversity religion or belief disabilities or socioeconomic background . If you require adjustments to your working arrangements or the recruitment process please let us know when applying . ","12088","Macquarie Group Limited","https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=0000018fb4bd8d0e93bb4133d0e851dd&src=GD_JOB_AD&t=SR&vt=w&cs=1_97709d96&cb=1716724272772&jobListingId=1009286631273&jrtk=5-pdx1-0-1huqbr3bhiod9801-794e72a7eb2cb7a2","Sydney","10000+ Employees","1969","Financial Services","Australia"
"1009293283771","FullStack Developer","FullStack Developer About us At iSelect we are passionate about helping Australians reduce their household bills and save money time and effort . We are Australias goto destination for comparison across insurance utilities and personal finance products made available from our range of providers . We compare from a wide range of Australias leading brands and our highly trained consultants help customers compare select and save . What you do As a FullStack Developer you will be working as part of crossfunctional technology team and providing thought leadership and technical guidance to ensure the highest quality and fitforpurpose for our platforms . You will also be accountable for building products in line with the technology strategy and product roadmaps . This includes making collaborative decisions on technology stack design patterns and overall technical strategy for your domain . You will be a practitioner level digital software engineer in your respective domain and have the technical ability to observeanalyse software engineeringdevelopment practices and drive the practice maturity and capability uplift . This role is suitable for a development practitioner with solid commercial experience in designing developing and running complex systems to play a pivotal role in the companywide digital transformation . What you need Solid experience in a fullstack senior development role Experience in building solutions in complex cloudbased environments Commercial experience with Java andor Node . JS Commercial experience in frontend development with React or Angular Designing building and running solutions in AWS cloud with focus on scalability and reliability with serverless and eventdriven architecture Experience running applications and systems in production environment with high focus on endtoend observability Desirable Experience working within a highly regulated industry Experience in hybrid inhouseoffshore delivery model Experience with WordPress PHP andor Salesforce Experience in leading change within technology function in an organisation with both B2C and B2B requirements . What is in it for you Hybrid Flexible Working Save time commuting we have the option to split your time working both in our office and from home . 3 days in our CBD office Tuesday Wednesday Thursday Professional Development We encourage ongoing learning and development with free access to the full Linkedin Learning Library our own inhouse learning Academy and regularly run initiatives such as our relationship with Juno Adaptive Leaders Program which enable you to continually upskill Recharge Days For the times when you just need to take a break we offer three extra days to use at your discretion yes in addition to your 20 days of Annual Leave Referral Bonus Earn yourself an extra 1500 by referring another superstar to join our team Salary packaging we can help you to maximise your salary with options such as novated leasing . Paid Parental Leave for both primary secondary caregiver and a Return to Work Bonus for when you are ready to come back . Income Protection Insurance a monthly income replacement benefit after a waiting period if you are medically certified as unable to work due to an injury or illness that is not work related . Wellbeing Centre Our online platform which provides education support and tools to help you live a healthier and happier life find online yoga cardio boxing classes healthy recipes and meditation mindfulness tools . Employee Assistance Program Free access to qualified psychologists and coaches who can assist you with the demands of work and home life . Rewards Platform A simple way of saving money for you and your family by offering you instant discounts and cashback at hundreds of retailers . Earn and redeem points while you spend Annual iStar trip We love to reward and recognize our employees whether you have gone above and beyond or consistently upheld our Values of Being Brave Keeping it real Celebrate and Have Heart . What is next We genuinely appreciate the time and effort you have taken to apply and you will hear back from us regarding your application We can be flexible with interview times and these will be conducted over MS teams virtually Do not hesitate to reach out to our friendly Recruitment Team if you would like to find out more about the role careersiselect . com . au Please note all applicants must have full working rights and will need to complete full background checks including Police Checks iSelect recognises the value of an inclusive and diverse work environment . We believe everyone deserves the same opportunities in life regardless of gender or identity sexual orientation race ethnicity religion disability or age . We actively encourage applications from all candidates including Aboriginal and Torres Strait Islander peoples the LGBTQI+ community and people with disabilities For individuals with disabilities that need additional assistance at any point in the application and interview process please email careersiselect . com . au Published on 16 Apr 2024 527 AM Job ID 8B34A","657818","iSelect","https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=0000018fb4bd8d0e93bb4133d0e851dd&src=GD_JOB_AD&t=SR&vt=w&cs=1_b6d37c60&cb=1716724272771&jobListingId=1009293283771&jrtk=5-pdx1-0-1huqbr3bhiod9801-2e9d1cfa72840f24","Melbourne","501 to 1000 Employees","--","Insurance","Australia"
"1008968929028","Cloud DevOps Engineer","Enterprise Linux andor Windows experience Exposure to core AWS services such as EC2 RDS VPC and CloudFormation . The ability to automate tasks using Powershell Shell or Bash 2+ years of experience with various Continuous Integration and Continuous Delivery CICD Source Code Repos and configuration management tools technologies and best practices 3+ years of handson experience working on AWS migrations Handson experience on creating landing zones foundations security guard rails and setting up the environment for workload migrations Experience on defining move groups planning migration approach working closely with the larger teams to plan migrations 2+ years of experience with designing cloud implementation architectures and solutions using PaaS DevOps Advanced Application coding 3+ years of experience with application transformation and modernization data migrations projects . 3+ years of experience with performing discovery and assessment of customers overall applications portfolio IT and business priorities and customer insights to create a modernization roadmap 3+ years of implementation experience of cloud architectures and solutions using PaaS DevOps Advanced Application coding 2+ years of experience with architecting and designing solutions using cloud technology paradigms like Serverless Containers Microservices 1+ years of experience with implementation experience of solutions using cloud technology paradigms Experience using database technologies like Oracle MySQL SQL and understanding of NoSQL MongoDB is preferred . Experience in performance tuning including load balancing web servers content delivery Networks CDN Caching etc . Strong knowledge on software development methodologies like AgileScrum Kan Ban etc . Broad understanding of enterprise project life cycle Experience architecting and deploying multitiered applications . About Virtusa Teamwork quality of life professional and personal development values that Virtusa is proud to embody . When you join us you join a team of 30000 people globally that cares about your growth one that seeks to provide you with exciting projects opportunities and work with state of the art technologies throughout your career with us . Great minds great potential it all comes together at Virtusa . We value collaboration and the team environment of our company and seek to provide great minds with a dynamic place to nurture new ideas and foster excellence . Virtusa was founded on principles of equal opportunity for all and so does not discriminate on the basis of race religion color sex gender identity sexual orientation age nondisqualifying physical or mental disability national origin veteran status or any other basis covered by appropriate law . All employment is decided on the basis of qualifications merit and business need . ","29396","Virtusa","https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=0000018fb4bd8d0e93bb4133d0e851dd&src=GD_JOB_AD&t=SR&vt=w&cs=1_dd35be4c&cb=1716724272771&jobListingId=1008968929028&jrtk=5-pdx1-0-1huqbr3bhiod9801-562d11d771e0ea7b","Sydney","10000+ Employees","1996","Information Technology","Australia"
"1009287422081","Junior Developer","Company Description Kieser is a network of integrated Physiotherapy Rehabilitation Strength Conditioning Clinics . We have 28 locations across Australia with more on the way . Our head office is based in South Melbourne however for the right person this role can be completed fully remotely . Job Description Kieser is looking for a trainee developer to join its fastgrowing team developing a serverless application in the AWS environment that manages its Australian business operations . You are a tech geek with a strong support background looking to move into programming or a junior programmer with a project of your own you are keen to show off . Design develop and deploy serverless applications using AWS Lambda . Write efficient reusable and reliable code for backend services . Integrate data storage solutions such as PostGreSQL RDS and S3 . Implement RESTful APIs and microservices . Collaborate with frontend developers to integrate userfacing elements with serverside logic . Optimize applications for maximum speed and scalability . Troubleshoot and debug production issues . Ensure the security and compliance of applications . Participate in code reviews to maintain high code quality standards . Keep up to date with the latest industry trends and technologies to ensure our solutions remain cuttingedge . Qualifications If you are project uses single page JavaScript so much the better . Experience with Sencha would be helpful too . Additional Information Induction week Access to our stateoftheart strength and conditioning facility without charge + concessional fees for family members on both physioEP and memberships Ongoing training and professional development Brilliant career pathways within the Kieser network Kieser Wellbeing Program 1 day of Kieser recharge leave and a half day of birthday leave In addition to your annual and personal leave A base salary including paid holidays with weekly bonuses An unbeatable team culture fun working environment and social events 12 weeks paid parental leave Diversity and inclusion Kieser is an inclusive workplace we encourage and welcome people from all backgrounds to apply . ","786970","Kieser","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018fb4ba3973bbd869f628ef0fa9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ed204a29&cb=1716724054728&jobListingId=1009287422081&jrtk=5-pdx1-0-1huqbkeebjr58800-adcc2d69dbe6e61f","South Melbourne","1001 to 5000 Employees","1967","Arts, Entertainment & Recreation","Australia"
"1009252932261","Software Engineer","Join Our Mission at InDebted Software Engineer Position Open Are you ready to change the world of debt collection At InDebted we are not just a fintech company we are a transformative force aimed at redefining financial fitness and debt management globally . Recognized by AFR BOSS as the Best Place to Work we are a dynamic team of over 300 professionals spread across 11 countriesand we are growing rapidly . We are on the hunt for exceptional talent to help us fulfill our vision of becoming the default debt collection fintech worldwide . What We Need We are seeking a seasoned Software Engineer with a passion for innovation and a knack for problemsolving in a highvelocity environment . Heres what we expect from our ideal candidate You Should Have a minimum of 5 years experience in full stack or backend development . Have experience with DomainDriven Design . Show proficiency in TestDriven Development TDD . Be willing to learn Event Sourcing . Be adhering to clean code principles . You Should Be Comfortable With Trunk based development and pairmob programming . Operating in an environment where you are responsible for the quality of the features you deliver . Being part of a team that deploys to production more than 45 times a day . Using feature toggles to seamlessly roll out new functionalities . Thriving in a fully remote work setup . Go and AWS Serverless Lambda SQS SNS DynamoDB Postgres etc . . Infrastructure as code with Terraform . Continuous integration with BuildKite and version control with GitHub . Frontend development with React JS . Monitoring tools like AWS CloudWatch and Grafana . You Should Identify Yourself With A bias for action and a drive for results . Owning a feature from conception to live implementation . A commitment to learning both the technical aspects and the business impacts of your work . The ability to discuss complex ideas clearly with technical and nontechnical stakeholders . Prioritising effectively to focus on key deliverables . Making thoughtful tradeoffs without compromising on quality . Valuing diverse opinions and accepting constructive feedback . Thriving in a nonblaming supportive culture . What We Offer InDebted offers a competitive salary comprehensive benefits and an opportunity to be part of a culture that values transformation accountability and connectivity . If you are excited to be part of a team that pushes the boundaries of traditional fintech and aims to make a global impact we would love to meet you . Ready to embark on this journey with us Apply today and join us in changing how the world interacts with debt ","2351821","InDebted","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018fb4ba3973bbd869f628ef0fa9&src=GD_JOB_AD&t=SR&vt=w&cs=1_e1a107d9&cb=1716724054728&jobListingId=1009252932261&jrtk=5-pdx1-0-1huqbkeebjr58800-25c4665d61aac7d4","Remote","201 to 500 Employees","2016","Information Technology","Australia"
"1009269347335","Cloud Support Engineer Serverless ","1+ years of software development or 1+ years of technical support experience Experience troubleshooting and debugging technical systems Experience with programmingscripting Batch VB PowerShell Java C# Chef Perl Ruby andor PHP Experience with REST API HTTP and webbased applications Experience with Linux Ubuntu CentOS RedHat ABOUT US Amazon Web Services is the market leader and technology forerunner in the Cloud business . As a member of the AWS Support team you will be at the forefront of this transformational technology assisting a global list of companies and developers that are taking advantage of a growing set of services and features to run their missioncritical applications . As a Cloud Support Engineer you will act as the Cloud Ambassador across all the cloud products arming our customers with required tools tactics to get the most out of their Product and Support investment . Would you like to use the latest cloud computing technologies Do you have an interest in helping customers understand application architectures and integration approaches Are you familiar with best practices for applications servers and networks Do you want to be part of a customer facing technology team helping to ensure the success of Amazon Web Services AWS as a leading technology organization If you fit the description you might be the person we are looking for We are a group of smart people passionate about cloud computing and believe that world class support is critical to customer success . WHAT CAN YOU EXPECT FROM A LIFE AT AWS Every day will bring new and exciting challenges on the job while you Learn and use groundbreaking technologies Apply advanced troubleshooting techniques to provide unique solutions to our customers individual needs Interact with leading engineers around the world Partner with Amazon Web Services teams to help reproduce and resolve customer issues Leverage your extensive customer support experience to provide feedback to internal AWS teams on how to improve our services Drive customer communication during critical events Drive projects that improve supportrelated processes and our customers technical support experience Write tutorials howto videos and other technical articles for the developer community Work on critical highly complex customer problems that may span multiple AWS services WHY AWS SUPPORT First and foremost this is a customer support role in The Cloud On a typical day a Support Engineer will be primarily responsible for solving customers cases through a variety of customer contact channels which include telephone email and weblive chat . You will apply advanced troubleshooting techniques to provide tailored solutions for our customers and drive customer interactions by thoughtfully working with customers to dive deep into the root cause of an issue . Apart from working on a broad spectrum of technical issues an AWS Support Engineer may also coachmentor new hires develop present training partner with development teams on complex issues or contact deflection initiatives participate in new hiring write toolsscript to help the team or work with leadership on process improvement and strategic initiatives . Career development We promote advancement opportunities across the organization to help you meet your career goals . Training We have training programs to help you develop the skills required to be successful in your role . We hire smart people who are keen to build a career with AWS so we are more interested in the areas that you do know instead of those you havent been exposed to yet . As we operate on a followthesun model with Premium Support sites located globally working hours and days are based on customer demand and may include weekends on a rotational basis . This role supports AWS Serverless technologies Lambda API Gateway etc . . Serverless Architectures are some of the fastest growing areas of technology and we are excited to help developers innovate and deliver amazing experiences . Want to know whats it like to be a Support Engineer at AWS Take a look httpswww . youtube . comwatchvGC3bWcFFZTo What if Im not an expert in all the preferred qualifications listed on the job description Thats okay . Thats our preferred list not a required listed . We hire people who can dive deep so were more interested in the areas that you do know instead of those you havent been exposed to yet . Amazon Web Services is an equal opportunity employer and value diversity at our company . We do not discriminate on the basis of race religion color national origin gender sexual orientation age marital status veteran status or disability status . We are open to hiring candidates to work out of one of the following locations Melbourne VIC AUS Sydney NSW AUS Experience with network troubleshooting tools telnet testnetconnection tracert tracetcp iperf ntttcp dig and packet capture tools Exposure to Serverless technologies such as Lambda and API Gateway Experience in Networking technologies including DNS TCPIP SSL DHCP and Load Balancing and Network troubleshooting tools telnet testnetconnection tracert etc and packet capture tools Experience managing full application stacks from the OS up through custom applications Good understanding of distributed computing environments Acknowledgement of country In the spirit of reconciliation Amazon acknowledges the Traditional Custodians of country throughout Australia and their connections to land sea and community . We pay our respect to their elders past and present and extend that respect to all Aboriginal and Torres Strait Islander peoples today . IDE statement Amazon is committed to a diverse and inclusive workplace . Amazon is an equal opportunity employer and does not discriminate on the basis of race national origin gender gender identity sexual orientation disability age or other legally protected attributes . ","6036","Amazon Web Services Australia Pty Ltd","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018fb4ba3973bbd869f628ef0fa9&src=GD_JOB_AD&t=SR&vt=w&cs=1_926fb044&cb=1716724054729&jobListingId=1009269347335&jrtk=5-pdx1-0-1huqbkeebjr58800-5fbfda0d092d3f6e","Sydney","10000+ Employees","1994","Information Technology","Australia"
"1009294634071","DWBI Developer","DWBI Developer Opportunity Stable and secure permanent fulltime role Competitive salary and benefits Flexibility + access to professional development Immediate start 70k 85k p . a plus Superannuation . About Us We are an IT consulting and services company focusing on Data Analysis Data visualisation Big Data and Cloud services based in Victoria . Role Description As a DWBI Developer you will be responsible to interpret business specifications technical designs and build maintain and modify the code for BI applications using Microsoft Power BI stack Tableau PL SQL Oracle DBA and Python programming . Key Responsibilities As a DWBI Developer you will support the project to Develop and deliver business intelligence solutions including reports and visualisations by interpreting system designs and technical specifications . Develop and automate key database functionalities in Oracle and SQL server for the business based on the requirements . Maintain ASM and RAC on Oracle 10g 11g and 12c versions and AWS cloud . Ensure the integrity accuracy and quality of the data sets used to analyse and present data to the business . Testing debugging and fixing errors in BI solution using standard guidelines and ensuring the applications perform to the specifications . Provide training and assistance to users for the generation of ad hoc reports . Design and implement technology best practices guidelines and repeatable operational processes . Establish and maintain code to build new data models along with the technical data modelling . Research consult analyse and evaluate BI application program needs . Develop proof of concepts to optimise the data warehouse performance and processes . Skills and Experience To meet the challenges of this role you will ideally be bachelors degree qualified and possess the following skills and experience 5+ years of experience in DWBI design and database developmentadministration experience . Experience with Cloud platforms such as AWS Azure and GCP Experience with DevOps Continuous Integration frameworks with configuration management tools such as Puppet Chef Salt Docker also relevant . Experienced with automation and orchestration conceptsskills Infrastructure as Code Terraform ARM Templates Cloud Formation AWS CDK Serverless Framework and Pulumi Build Release Tools GitHub Azure DevOps Bitbucket and TeamCity Databases MS SQL Cosmos PostgreSQL SQl PL SQL Serverless AWS Lambda Azure Functions Containers Docker Kubernetes Must have ITILITSM certification . Defectincident handling and triage skills . Superior skills in critical thinking prioritisation and problemsolving . Experience working with Tableau and Power BI tools . Experience in supporting mission critical applications in production environments . Good Knowledge in databases including onprem SQL Server and Oracle and cloudnative Azure AWS GCP and Snowflake query design and performance tuning . Project Management Capabilities scrum agile and waterfall and good communication skills . Job Type Fulltime Salary 70000 . 00 85000 . 00 per year Benefits Hybrid Schedule 8 hour shift Ability to commuterelocate Melbourne VIC Reliably commute or planning to relocate before starting work Preferred Work Authorisation Australia Preferred Date Posted 26 May 2024 Job Types Fulltime Permanent Pay 70000 . 00 85000 . 00 per year Benefits Professional development assistance Work from home Schedule 8 hour shift Monday to Friday Supplemental pay types Overtime pay Education Bachelor Degree Preferred Experience Data Engineer 5 years Preferred Work Location Hybrid remote in Alfredton VIC 3350","0","Sairam Technologies","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018fb4ba3973bbd869f628ef0fa9&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2f52075f&cb=1716724054729&jobListingId=1009294634071&jrtk=5-pdx1-0-1huqbkeebjr58800-93dd18bca08c27c6","Alfredton","NA","NA","NA","Australia"
"1007442037098","Software Engineer","About the business iGreenData is a nextgeneration technology company focusing on Cloud Data and Digital first solutions that are changing how technology provides value to businesses empowering organisations to take advantage of the scalability reliability and improved performance of cloud computing . We offer highly differentiated technology services to our customers . Our customers benefit from the industryleading digital and cloud capabilities we deliver together with our niche partner ecosystem . We leverage our intellectual property and our unique family of accelerators to helping our customers develop and run Intelligent businesses and transform the customer experience . What youll contribute to the position As a Software Engineer you will use technical expertise to design and implement software solutions for our customers . Youll apply your passion for building clean robust code to largescale systems . With your welldeveloped interpersonal skills you will be an active team member and contribute to delivering customerfocused optimal quality business outcomes . About the role The role requires participation in each stage of development from requirements to final acceptance . You will join all Sprint ceremoniesmeetings and make every effort to ensure that each new feature meets the Completion Criteria . Our team where you will be part of is very collaborative friendly and improvementoriented . We encourage having fun while at work . We support a flexible hybrid working model with a mix of days in the office and at home . To be successful youll need great teamwork communication and problemsolving abilities as well as the ability to work in an agile dynamic workplace . You need to be a great team member and place importance on continual development responsibility transparency and the capacity to pivot . With iGreenData youll excel as a Software Engineer engaging with your peers in the design and development process alongside customer stakeholders . What youll do Heres an overview of some of the responsibilities youll have as a software engineer . Work in agile software delivery teams . Implement software technology solutions that meet and exceed customer requirements and expectations Develop highquality code that can function with existing code patterns and architectural techniques Effectively utilise development best practices Active participation in team agile development practices Ensure superior code quality through methods including unit testing Design systems that are effective in production environments and are easy to maintain Help our clients maintain and run reliable applications and systems Promote modern software engineering practices Keep your skills up to date and always be looking for continuous improvement Experience and Skills A minimum of 5 years of Software engineer Experience Handson experience on Spring Boot Microservices Serverless Architecture Critical to have solid development experience in a Java focused on data APIs Microservices Experience in Java Java frameworks Spring Core MVC Boot Struts JPAHibernate Experience with API design and building RESTful web services Experience in Multithreading and high availability high throughput programming Experience with Performance tuning Proven skills with HTML5 CSS3 JavaScript ReactAngular Experience with ContainerisationKubernetes Docker AWS Cloud project experience Experience working with any cloud platform AWS GCP AZURE Microservices AWSGCP Cloud Deployment and API Excellent verbal and written communication skills Strong time management skills with the ability to prioritise workloads under pressure and meet deadlines A selfstarter who is handson and knows how to find answers and work with ambiguity Valuedriven and practical in your approach Benefits and perks Ongoing professional and career development We offer a highly competitive rewards and benefits package including private healthcare and more . Were growing so there will be plenty of opportunities to grow your career with us as we expand Lots of social activities A learning organisation we invest our time and money in learning Supporting individual learning opportunities hosting and attending brown bag lunches meetups Generous training budget If this opportunity sound likes something you would be interested in we want to hear from you Our team will assess your application and if we feel that you could be a good fit for any of our client partners we will be in touch regarding the next steps . You must have the right to live and work in this location to apply for this job Employer questions Your application will include the following questions Which of the following statements best describes your right to work in Australia How many years experience do you have in a software development role How many years experience do you have as a software engineer Whats your expected annual base salary How much notice are you required to give your current employer Job Features Job Category Information Communication Technology . DevelopersProgrammers","3015251","iGreenData","https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=0000018fb4bd8d0e93bb4133d0e851dd&src=GD_JOB_AD&t=SR&vt=w&cs=1_72d56e3f&cb=1716724272771&jobListingId=1007442037098&jrtk=5-pdx1-0-1huqbr3bhiod9801-2ab0e7343f1befee","Melbourne","51 to 200 Employees","2018","Information Technology","Australia"
"1009271717655","Senior Engineer","As Homemade continues to grow and scale so do its engineering requirements . As an Engineer you will play a critical role in contributing towards the frontend applications React Next . js framework and assist with backend services Node . js . This role will be placed in a crossfunctional squad and work on key aspects of our platform to deliver value to our customers . Role and Responsibilities Take up technical responsibilities for entire projects ensuring scalable and userfriendly products Own the design coding testing and verification processes to deliver quality code to production Collaborate with team members to develop new features and improve existing modules Work closely with the Engineering Team Lead to own and convert requirements into actionable tickets Actively contribute to team design discussions Mentor junior team members to help them grow technically and professionally Generate detailed documentation including test results data flowcharts diagrams layouts and code comments Apply best practices in development following standardised coding conventions Review pull requests providing constructive feedback to maintain code quality What are we looking for 35 years of professional experience with Software Development Experience with at least one major javascript framework React . js Angular Ember . js Vue . js Svelte we use React and Node Good understanding of git Gitflow and GitHub Actions Understanding of software design patterns and when to use them Excellent communication skills and teamoriented mindset Comfortable working in an agile environment with a crossfunctional team Excellent written and verbal communication Comfortable with Github and Atlassian products Desirable skills Experienced with AWS infrastructure or serverless development Experience with Ionic framework and hybrid mobile app development","1745727","Mable","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018fb4ba3973bbd869f628ef0fa9&src=GD_JOB_AD&t=SR&vt=w&cs=1_9952a601&cb=1716724054729&jobListingId=1009271717655&jrtk=5-pdx1-0-1huqbkeebjr58800-fb70fe5bc717dca8","Remote","1 to 50 Employees","--","--","Australia"
"1009291221835","Developer","Seven West Media is the leading listed national multiplatform media business based in Australia . We comprise of Channel Seven The West Australian The Sunday Times and associated Perth metro and WA regional newspapers . Seven West Media is a dynamic and evolving business in the past few years our Digital team has built entire websites and products from the ground up and made a significant impact to the business and ways of working within the business . Our NextGen News project is a pivotal program driving the overhaul of news experiences for The West PerthNow and our Regional mastheads based on customer needs . After extensive research the design phase is kicking off and an expert Developer is required to help us foster and bring the vision to life . The Opportunity Working alongside our product design team on the Next Gen news project the Developer will help to build the future of digital media in our business and create great user experience . This is a 6 month fixed term contract with the potential to extend . As a Developer you have your finger on the pulse of the latest software practices and have a passion for working on large and often complex solutions . You are solutionorientated and enjoy mentoring others in your team . You apply an agile way of working using the scrum framework . You will have the opportunity to work with a tech stack which services up to 1 . 45 million unique users a day and a team which ships to production multiple times a day on serverless infrastructure . This requires great infrastructure and software . Its not easy but the skills weve gained are invaluable and transferrable . The people in our team all come from various industries and contribute something unique . The tasks of the role include but are not limited to Develop code with the backing of a mature CICD platform that has branch deploys Write infrastructure code alongside the actual code that runs the servicesproducts Using a wide range of AWS services in production including Lambda DynamoDB SQSSNS Fargate ECS all deployed using infrastructure as code using Pulumi . TypeScript throughout all Node . js React . js and React Native projects GitHub for source control collaboration with GitHub actions for CI Merge to master deploys to production automatically About You Our team offers opportunities to learn experiment and grow and are eager to hire developers who are excited to work with React and React Native . Prior experience with React and TypeScript is beneficial but all candidates with a grasp of programming principles or experience with JavaScript are encouraged to apply . We welcome diverse perspectives and are looking for people who value learning collaboration experimentation and continuous improvement . In this position you will have the opportunity to expand and improve your skill sets while contributing to the delivery of public facing and internal news products . We are looking for someone with the following 3+ Years experience working in software development An independent and goal orientated nature Advanced interpersonal skills and a positive mindset Knowledge in the following will be highly regarded React . JS React Native Typescript HTML CSS Node . js Lets talk benefits Working within a talented friendly and supportive team Osborne Park location with a free gym and free onsite parking An onsite cafe which is 2 minutes walk from the Digital team Flexible and hybrid working arrangements A work perks program including discounts on some of the most iconic brands An employee health and wellbeing support program Apply now Join us at Seven West Media and be a part of our success story . To apply simply click the Apply Now button and follow the prompts to submit your resume and any supporting documents . Please note only applicants who have current and valid Australian work rights can apply . Apply now and join us behind the scenes at one of Australias most prominent media companies to let your talents shine . SWM is an equal opportunity employer and we are committed to creating a diverse and inclusive workplace . SWM does not accept any unsolicited agency resumes and will not be responsible for any fees related to unsolicited resumes . For more information visit www . sevenwestmedia . com . au Advertised 23 May 2024 435 PM W . Australia Standard Time Applications close 23 Jun 2024 1155 PM W . Australia Standard Time Back to search results","1031398","Seven West Media","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018fb4ba3973bbd869f628ef0fa9&src=GD_JOB_AD&t=SR&vt=w&cs=1_2b097294&cb=1716724054729&jobListingId=1009291221835&jrtk=5-pdx1-0-1huqbkeebjr58800-5b3117282d27e815","Perth","5001 to 10000 Employees","1956","Media & Communication","Australia"
