"job_id","job_title","job_description","company_id","company_name","job_url","job_location","company_size","founded_year","company_sector","country"
"1009274804002","Senior Cloud Platform Engineer","Overview About us IQUW is a speciality re insurer at Lloyds Syndicate 1856 underwriting a diverse range of Property Commercial and Speciality re insurance products from Cargo and Marine to Political Violence Terror and War . We combine data intelligent automation and human expertise to make smart decisions fast . ERS is the UKs largest specialist motor insurer with an A+ rating . We recognise that for some motor insurance is more than just a musthave it is a way of taking care of what stands at the heart of their passion or livelihood . For those people standard insurance is not enough . That is why we work exclusively with motor insurance brokers to help get under the skin of the most difficult insurance risks helping build products to meet their customers needs . The role Our Senior Cloud Platform Engineer is responsible for designing implementing maintaining and supporting all aspects of the IQUW Azure cloud platform environment . This will involve interpreting complex business requirements and designing highly available solutions to address these needs . The Senior Cloud Platform Engineer role is handson where you will build and configure the environment as well as lead in the proactive support and monitoring of the platform ensuring performance and stability is maintained . This role is offered on a remote basis . Key responsibilities Analyse and interpret complex business requirements and designing resilient secure solutions to address these needs . Deploying and configuring new solutions to meet business needs using DevOps methodologies and automation . Troubleshooting supporting and maintaining the platform ensuring stability and uptime . Identifying root causes and responding to incidents and service requests within defined SLAs Following the defined process for raising changes and attending weekly CAB Managing and updating automated deployment tools including infrastructureascode terraform scripts . Supporting IQUW Azure cloud infrastructure security developers and cloud application owners in knowledge transfer and troubleshooting Qualifications skills and experience Expert experience and working knowledge with Microsoft Azure cloud platform preferably AZ certified to complement working experience . Experience designing and building complex solutions in MS Azure Experience deploying a variety of resource in MS Azure including IaaS PaaS and serverless platforms including but not limited to Azure Database Technologies i . e . SQL Cosmos Azure AD and AADDS API Manager Serverless technologies like Apps functions logic apps Azure containerisation i . e . AKS or ACA Robust experience and understanding of Azure networking including but not limited to Azure firewall VPN gateway and VPN tunnels Routing UDRs Private Endpoints and Service Endpoints Hands on experience using cloud orchestration Terraform . Knowledge and experienced with version control systems . Knowledge or experience of Azure Data Factory Monitoring of cloud service e . g . Azure monitor Benefits Competitive Benchmarked Salary 25 days holiday Discretionary bonus scheme Employee assistance programme Annual holiday buy up to 3 extra days Salary sacrifice benefits Annual benefits reviews The option for professional qualifications and study support Additional Information A full Job Description can be seen here . ","6233531","IQUW","https://www.glassdoor.com/partner/jobListing.htm?pos=407&ao=1136043&s=58&guid=0000018fb4d0bb9687881ee51c989550&src=GD_JOB_AD&t=SR&vt=w&cs=1_73ce3532&cb=1716725529864&jobListingId=1009274804002&jrtk=5-yul1-0-1huqd1ev7hdij801-d9ed88af8d59a27d","Swansea Wales","Unknown","--","--","United Kingdom"
"1009274047323","Software Engineer","As one of the world leaders in Game Tech and Esports Tech we are looking to add more engineers in our Elgin office Code Wizards North . We work on everything from small mobile indie titles all the way to AAA consolePC games . If you love games and have always wanted to work in the industry then this is the ideal job for you but we are biased . To be clear YOU Do not NEED TO HAVE ANY GAMES BUSINESS EXPERIENCE as we can train you on that . What we are looking for Ability to work in a team of other engineers Prior ommercial programming experience if you are a recent graduate then come talk to us but it will not be this role Strong JavaScript TypeScript C# Golang backend skills Able to write clean scaleable and performant code Want to learn new skills and are happy to jump straight in Happy with a varied workload and changing miniteams local and remote Used to working with ticket systems githubdevopsJIRA etc and source control git at least If possible we would also love Previous games experience Unity Unreal Engine experience AWS Serverless SQS EventBridge API Gateway esp . websocket version AWS Associate or Professional certification PostgreSQL or any RDBMS experience DocumentDBMongoRedis or any other NoSQL experience Mobile SDK experience React or other JS based UI skills Git Perforce source control And what do we offer A chance to work in the games industry esports industry An amazing team to work with learn from and enjoy their company Hybrid working roughly 3 days in office 2 days at home Swag hoodies etc A range of work so you will never be bored We are a karma company that believes that we should be the best bipedal hominids we can be . We aim for transparency being straightforward and super inclusive too . So heres our pitch if you always wanted to be in games and never got the chance then carpe diem todays the day Benefits Casual dress Company pension Onsite parking Relocation assistance Ability to commuterelocate Elgin IV30 1BD reliably commute or plan to relocate before starting work required Experience NodeJSJavascriptTS . NET C++ Rust Python Golang Job Types Fulltime Permanent Benefits Casual dress Relocation assistance Work from home Schedule 8 hour shift Flexitime Monday to Friday Ability to commuterelocate Elgin reliably commute or plan to relocate before starting work required Application question s What is your interest in VideogamesGaming Experience . NET 2 years required Work authorisation United Kingdom required Work Location Hybrid remote in Elgin Reference ID Game Tech Engineer Software Engineer Elgin May24","0","Code Wizards Limited","https://www.glassdoor.com/partner/jobListing.htm?pos=1018&ao=1136043&s=58&guid=0000018fb4e30580940344525d83158e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0b90b412&cb=1716726728524&jobListingId=1009274047323&jrtk=5-yul1-0-1huqe61dvhdij800-744a72fcdddd84f9","Elgin Scotland","NA","NA","NA","United Kingdom"
"1009284064856","Junior Azure Architect","Junior Azure Architect The Role With current business and future growth strategies expanding on the use of Azure public cloud Canopius require a Junior Cloud Azure Architect to support the transformation and the future growth of the business within the Technology function to identify create and implement strategies and frameworks to simplify the IT architecture by removing Legacy systems investing in modernised lowercost and performant technology systems delivering a digital platform within a robust public cloud management framework . In addition Group IT require local and international physical and virtual infrastructure modernisation in the satellite offices including working with local thirdparty vendors . The role is based in the new Tech and Data hub in Manchester with occasional travel to the London office Responsibilities will include Enable MS Azure cloud journey analyse TCO Total Ownership Cost and create a business case make the best of the Azure journey Design and prototype cloud solutions create solution architecture document covering technical aspects of the implementation Assist in the create of a unified strategy for cloud transformation governance automation security implementation and operations Analyse existing application portfolios develop nextgen application architecture transformation and modernisation roadmap Conduct cloud solutions architecture reviewaudit and create reviewaudit report Assist in implementation of the solution from establishing project requirements and goals to solution golive Assist in overseeing the development efforts and provide technical help as needed Experience in Disaster Recovery Operational Resilience and Backups of application Infra Maintain a strong understanding of industry trends and best practices Serve as a cloud evangelist consult and provide technical guidance on cloud solutions design build governance security operations and cost control best practices . The role will be to work with Cloud Architect and Cloud Engineers supporting BAU and projects Skills and experience Basic understanding in modern cloud architecture and history of successful implementation of MS Azure solutions Exposure to Agile software development methodologies and DevOps practices such as Infrastructure as Code IaC Continuous Integration CI and automated deployment Knowledge of Terraform and BICEP Designing and building applications using container and serverless technologies Ability to suggest competitive and innovative technical decisions get client buyin and deliver commitments . Experience in Operations Resiliency and Backups of application infrastructure Some knowledge of Azure micro services APIs containers cloud data models cloud integration and cloud migration patterns like rehost refactor rearchitect . Excellent documentation and communication skills Our benefits We offer all employees a comprehensive benefits package that focuses on their whole wellbeing . This includes hybrid working a competitive base salary noncontributory pension discretionary bonus insurances including health family and dental cover and many other benefits to enhance financial physical social and psychological health . About Canopius Canopius is a global speciality re insurer with underwriting operations in Australia Bermuda Singapore the UK and US . We are privately owned and one of the leading insurers in the Lloyds of London insurance market . With a growing demand for data analytics and research we are investing in a new global Canopius Tech and Data Hub in Manchester . Underpinning our growth and expansion ambitions are our technology capabilities with increased investment into insuretech analytics and research . We are recruiting a diverse group of data and technology talent across all levels of experience . At Canopius we foster a distinctive positive culture which enables us to bring our whole selves to work to flourish as people and build a business which delivers profitable sustainable results . Canopius operates a flexible hybrid working model and is committed to providing an environment that challenges employees to be their best and where everyones unique contributions are recognised valued and respected . We are fully committed to equal employment opportunities for all applicants and providing employees with a work environment free of discrimination and harassment . All employment decisions are made regardless of age sex gender identity ethnicity disability sexual orientation socioeconomic background religion or beliefs marital or caring status or any other status protected by the laws or regulations in the locations where we operate . We encourage and welcome applicants from all diverse backgrounds . We make reasonable adjustments throughout the recruitment process and during employment . Please let us know if you require any information in an alternate format or any other reasonable adjustments . ","959051","Canopius","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&cs=1_e9bd03db&cb=1716724933995&jobListingId=1009284064856&jrtk=5-yul1-0-1huqcf947m978803-dd75a10e5b7d2f40","Manchester England","501 to 1000 Employees","2003","Insurance","United Kingdom"
"1009291297240","Python Engineer","Join our dynamic team at the forefront of machine learning and speech processing technology . We are dedicated to developing stateoftheart systems and enabling cuttingedge research . Job Responsibilities Develop infrastructure for data processing in advanced machine learning systems . Build pipelines for deploying cuttingedge speech processing systems . Utilize serverless frameworks and architectures to support our core product . Why It is Exciting Tackle challenging problems in machine learning and speech processing . Work with proprietary datasets to drive stateoftheart speech processing research . Collaborate with a highly intelligent team with backgrounds from prestigious universities like Cambridge Edinburgh UCL and Stanford . Participate in workshops with leading academic advisers in speech synthesis . Engage in weekly Tech Sessions focused on all aspects of machine learning and speech . The Perks Competitive compensation package including company shares . Choice of brandnew laptops . Paid trips to industry conferences . Weekly provided meals and drinks . Unlimited holiday policy . Modern openspace office in Shoreditch with excellent transport links . Free food fruit cereals snacks and beer on tap . Complimentary baristamade coffee . Office amenities ping pong table breakout sofas communal eating area and phone booths . Ideal Candidate Holds a STEM degree with elements of machine learning or signal processing . Proficient in Python with experience using libraries such as numpy jupyter and regular expressions . Eager to learn new skills and proactively engage in selfdevelopment . Enthusiastic about applying speech synthesis in video and translation contexts . Bonus Points For Experience with audio or video processing libraries like ffmpeg . Experience with textparsing and normalization . Familiarity with DevOps technologies such as Docker and cloud services AWS Google Cloud Azure . Apply Today If you are passionate about machine learning and speech processing and excited to work in a vibrant collaborative environment we want to hear from you How to Apply Submit your application through Indeed with your updated resume and a cover letter outlining your relevant experience and enthusiasm for the role . Job Type Fulltime Pay Up to 40000 . 00 per year Benefits Life insurance Work authorisation United Kingdom preferred Work Location In person","0","Ultimate Outsoursing","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_733f645e&cb=1716724933996&jobListingId=1009291297240&jrtk=5-yul1-0-1huqcf947m978803-d6f1a3d68385ea0a","London England","NA","NA","NA","United Kingdom"
"1009265098087","Business Development Manager Cloud Computing","Dexra Solutions Limited Job Title Business Development Manager Salary 100000 120000 per annum + Highly attractive Bonus Location London Ashford Job Type Permanent Job Status Full Time Job Reference Number PERM20240012 An excellent opportunity has arisen within an emergent IT firm based in London . We deliver software products and innovative solutions across the globe . We specialise in delivering full cycle software development services to our customers . We have a team of experts in development customisation and integration of complex enterpriselevel solutions advanced web and mobile applications offering a wellbalanced blend of technology skills domain knowledge handson experience effective methodology and passion for IT . Our key focus areas include Software Products IT Specialist Services Cloud Services Maintenance Support Services The organisation requires a Business Development Manager to join its thriving operation during a period of sustained and extended growth . As BDM you will be responsible for facilitating the growth of the business by locating developing defining negotiating and acquiring business relationships by focusing on Public and Private sector clients . The successful candidate will demonstrate exemplary core sales and relationship management skills and will also have knowledge of IT infrastructure and related services . The candidate must also have a proven and successful track record on sales and acquiring new relationships in public and private sector . Knowledge of Infrastructure Services portfolio and processes are a distinct advantage . The prospective candidate will lead sales engagements selling solutions to business and IT requirements in the public and private sector domain . Roles Responsibilities 1 Strategic Planning Develop and execute a comprehensive business development strategy focused on cloud computing . Identify market opportunities industry trends and customer needs to guide strategic decisions . Collaborate with executive leadership to set clear revenue targets and growth objectives . 2 Partnership Development Forge strategic partnerships with cloud service providers technology vendors and industry influencers . Negotiate partnership agreements and manage ongoing relationships to drive mutual business objectives . Evaluate potential collaboration opportunities to enhance product offerings and market reach . 3 Market Expansion Drive market expansion efforts by identifying target segments and developing tailored gotomarket strategies . Lead initiatives to penetrate new geographies and customer segments for cloud services adoption . Analyze market competition and positioning to differentiate company offerings effectively . 4 Sales Enablement Work closely with sales teams to enable them with cloudspecific product knowledge and value propositions . Provide support in complex sales engagements including RFPs proposals and customer presentations . Collaborate with marketing to develop compelling messaging and collateral for cloud solutions . 5 Strategic Alliances and MA Identify potential merger and acquisition opportunities to strengthen cloud capabilities . Evaluate and execute strategic alliances or acquisitions that align with business objectives . Conduct due diligence and integration planning for successful partnership ventures . 6 Thought Leadership and Industry Engagement Represent the company at industry events conferences and webinars to enhance brand visibility . Contribute to thought leadership initiatives by publishing articles white papers or speaking engagements . Build relationships with industry analysts media and influencers to position the company as a leader in cloud innovation . Qualification Bachelors degree in Business Administration Computer Science or related field Masters degree preferred . Proven track record in business development or sales leadership within the cloud computing industry . Deep understanding of cloud technologies including IaaS PaaS SaaS and emerging trends e . g . serverless AIML . Strong negotiation and relationshipbuilding skills with the ability to influence at the executive level . Experience in developing and executing complex partnership agreements and strategic alliances . Excellent analytical skills to interpret market data customer insights and competitive intelligence . Outstanding communication skills both verbal and written with the ability to articulate complex concepts clearly . Entrepreneurial mindset with a proactive approach to identifying business opportunities and driving results . The role of Business Development Director in Cloud Computing demands a strategic thinker who can navigate complex market landscapes and drive growth through innovative partnerships and market expansion strategies . This position offers an exciting opportunity to shape the future of cloud services and contribute to the companys success in a rapidly evolving industry . Closing Date 03062024 Job Type Fulltime Pay 120000 . 00150000 . 00 per year Work Location In person Reference ID PERM20240012","0","Dexra Solutions Limited","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_33ba59ad&cb=1716724933996&jobListingId=1009265098087&jrtk=5-yul1-0-1huqcf947m978803-fcde768cc16c5b68","London England","NA","NA","NA","United Kingdom"
"1009262495864","Senior Frontend Engineer React Node . js AWS Serverless ","Powster is a Creative Studio based in London and Los Angeles . We specialize in creating worldclass interactive digital experiences and marketing campaigns for major movie studios broadcasters music artists brands and streamers . Our work ranges from highconcept websites and largescale video productions to immersive AR experiences and cuttingedge interactive activations . We like to think that anything is possible and if we havent done it before well pull together work it out and make it happen . Our best work has won FWAs Webbys Clios and Awwwards you can find out more on our website Instagram and Behance . If youre looking to play an important role in shaping the performance and future of unique web products and creative marketing Powster is the place for you . To keep our culture of collaboration strong this role requires you to come into the office in Hackney Wick on Tuesdays Thursdays . JOB SUMMARY We are looking for a Senior Frontend Engineer to join our London team to bootstrap our digital services platforms across the Powster ReactJSNodeJSAWS technical stack . This is an exciting opportunity that will challenge your frontend skills with a lot of opportunities for leadership project ownership across our movie music industry clients who include Universal Disney Twitch Netflix Sony Pictures and many more . Projects range from immersive AR experiences through to highconcept websites and cuttingedge interactive activations . The best work can only be done in the best of environments . We champion worklife balance . Everything we do must represent our Kindness Culture . Whatever the challenge you can always count on your colleagues for support . Our diverse company culture is something we take pride in and management leads with progressive values . Were proud of our open compassionate and hardworking culture and are looking for a candidate craving a modern workplace and whose values align . RESPONSIBILITIES You will leading feature development for our digital services platforms web builds and will be working closely with our Production teams from idea conception to delivery Leadership ownership of the complete development lifecycle from development QA to project activation You will mentor and coach engineers across the team You will be looking after our serverless static sites delivery system React + AWS You will represent our technical excellence in front of the BestKnown in the Movie Industry You will look after and support your great peers from the Production Sales teams DESIRABLE SKILLS You should be someone who loves working with the team and helps to bring every individual to excellence . You love challenges of all types and are keen on keeping up to date with modern coding practices . You have a minimum of 4 years as a Software Engineer working within web frontend development You are comfortable with the JavaScript environment Node . js React You can easily navigate between Backend and Frontend architectures You have experience with Cloud Infrastructure preferably AWS You take pride in your communication skills You live with technology . You continuously work on your skills and make the best of your talents building things just for your own benefit . OUR CULTURE We actively promote close collaboration and open working practices across the studios . We encourage new thinking with an emphasis on appreciating and encouraging everyones contribution and interests . The wellbeing of our team takes priority and we are committed to a supportive and considerate working environment for everyone . We champion our culture of kindness and we go a long way to make sure your worklife balance stays intact . POWSTER PERKS Private Medical Insurance Access to a number of discounts and offers from wellknown retailers Pension scheme Cycle loan Travel loan schemes Bike storage Free gym onsite Exclusive movie screenings Picturehouse Cinema membership Flexible workplace culture Office dogs Roy Lilly Kindness policy and attention to your wellbeing OUR TEAM HOW TO APPLY Please submit your CV . To be considered for this role candidates must be eligible to live and work in the UK . Whilst every effort is made to contact everyone who applies due to a high number of applications we are unable to give individual feedback to those who are unsuccessful . Powster is committed to being an equal opportunities employer and cultivating an inclusive and diverse culture where every team member is valued where our differences are celebrated and where all voices are heard NO RECRUITMENT AGENCIES PLEASE mS7t7KKxWC","1155534","POWSTER","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e68753c4&cb=1716724933996&jobListingId=1009262495864&jrtk=5-yul1-0-1huqcf947m978803-4755cfa440325e7e","London England","1 to 50 Employees","--","--","United Kingdom"
"1009281927159","Product Owner","Product Owner Hybrid working Role Overview Eseye is looking for a Product Ownerwith good understanding of Agile SCRUM framework and handson experience from cradle to grave product management life cycle with good understanding of AWS architecture . The ideal candidate would be able to manage insourced and outsourced SCRUM teams and interpreting business requirements into technical requirements and implementing them with the development team accordingly . Role requirements Working in Agile projects using SCRUM framework Experience using JIRA for product development tool AWS architecture and Serverless experience Good understanding of Continuous Integration pipelines and GitFlow Test and business driven development Ability to work with international teams Skills Requirements Experience with data rich web development for both frontend and backend Daily team stakeholder management Business analysis experience is desirable and a bonus Progress reporting Ability to manage SCRUM teams and manage backlog grooming Owning User Stories for product development Responsible for achieving successful product release based upon QA and Operational signoff Ability to produce product internal operational documentation Understanding of waterfall project management and handson project delivery management experience Company Overview Since Eseye began in 2007 we have become a leading global provider of IoT connectivity . Using our device and cellular expertise and specialist IoT support we have successfully connected over 1000 different device types through global cellular partnerships in 190 countries . Eseyeenabled devices are connected and managed using our leading IoT Managed Services across all industry verticals both for enterpriselevel global brands and entrepreneurial startups . Benefits Competitive salary and career progression Company bonus of 5 which increases to 10 if the company exceeds yearly targets . Company pension scheme with 5 employer contribution Life insurance Income protection 25 days annual leave Birthday annual leave 1 day Employee discount scheme Free parking Unlimited free Costa Coffee OnSite Cafe Job Types Fulltime Permanent Benefits Company events Company pension Free parking Life insurance Onsite parking Referral programme Store discount Schedule Monday to Friday Supplemental pay types Bonus scheme Ability to commuterelocate Guildford reliably commute or plan to relocate before starting work preferred Experience Product development 2 years preferred AWS 1 year preferred Work authorisation United Kingdom required Work Location Hybrid remote in Guildford Application deadline 19022024 Reference ID Product Owner","1666719","Eseye Ltd","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d8342665&cb=1716724933992&jobListingId=1009281927159&jrtk=5-yul1-0-1huqcf947m978803-c161970bf7dc2f09","Guildford England","51 to 200 Employees","2007","Telecommunications","United Kingdom"
"1009291581624","Software Developer","Who we are Matrix Booking is a SaaS company with an awardwinning suite of resource management applications that enable smarter working in the public and private sectors in the UK Europe and the USA . We provide room and desk booking solutions as part of a complete resource management solution including return to work solutions visitor management QR code scanning for staff and visitors floorplan booking and more . The role We are looking for an enthusiastic backend developer to join our growing development team and help us deliver our product strategy for the next stage of our companies growth . You will be part of the backend team working alongside frontend developers the product team and QA to support our existing products develop new features and product lines and help to rearchitect our legacy systems into a serverless architecture . The development team are currently working remotely but will be required to attend team meetings in London Bristol Swansea or Cardiff on a biweekly or monthly basis . Flexible working will continue . Responsibilities Design develop test deploy maintain and improve our software Work closely with product team and agile delivery manager to prepare and refine user stories and tasks Work collaboratively with a cross functional team where software is product led design driven and customer centric Support and develop the existing java code base behind our SaaS and mobile applications Support and develop the existing code base behind our IoT product offerings Involved in extending our use of Serverless architecture Ensure good engineering practices and knowledge sharing within the team Mandatory Skills Java8 Spring Javascript AWS experience Nice to have Skills AWS s3 Lambda programming API Gateway IoT core Glue SQS SNS SES Kinesis and Athena PostgreSQL Python Working knowledge of AWS Serverless patterns AWS Certifications You will Have experience of Agile Scrum Methodology Have experience of JIRA Bitbucket Git Work well in a team and independently Be proactive and a problem solver Take pride in your work Benefits 25 days annual leave plus bank holidays Pension Scheme Private Health Insurance Cyclescheme Enhanced Maternity and Paternity pay Group Life Assurance 4x salary Income Protection Insurance Flexible working Training and Development Winter flu vaccinations Eyecare scheme Octopus Money Scheme Octopus EV car scheme Place of work Work remotely with opportunities to meet with the team face to face quarterly . Job Types Fulltime Permanent Pay 50000 . 0065000 . 00 per year Benefits Company pension Flexitime Life insurance Private medical insurance Profit sharing Sick pay Work from home Schedule Monday to Friday Application question s You may be required to commute to an office once a month in either London Reading Bristol or South Wales please confirm you are aware of this and able to do so Education Bachelors preferred Experience java8 2 years required Work authorisation United Kingdom required Work Location Remote Reference ID MBDEVBE001","5391418","Matrix Booking ltd","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_593ebc74&cb=1716724933992&jobListingId=1009291581624&jrtk=5-yul1-0-1huqcf947m978803-db049e23e4c42267","Remote","1 to 50 Employees","2012","Information Technology","United Kingdom"
"1009234130675","Backend Engineer","What are we building Hard Rock Digital is a team focused on becoming the best online sportsbook casino and social casino company in the world . Were building a team that resonates passion for learning operating and building new products and technologies for millions of consumers . We care about each customers interaction experience behavior and insight and strive to ensure were always acting authentically . Rooted in the kindred spirits of Hard Rock and the Seminole Tribe of Florida the new Hard Rock Digital taps a brand known the world over as the leader in gaming entertainment and hospitality . Were taking that foundation of success and bringing it to the digital space ready to join us Whats the position We are looking for a Mid Level Backend Engineer to join our rapidly growing technology team responsible for continuous growth and support of our Sportsbook and Casino platforms . This position will be able to come in an have the opportunity to learn and grow with our backend and data science systems . It is an exciting and rewarding opportunity . As a midlevel backend engineer you will Be a technical point of contact for various stakeholders Be technically talented able to contribute quality code and being passionate about the technology Be responsible for the quality scope and timeliness of all your deliverables Because we operate with a startup mindset we will be reliant on your technical skill but also your passion and ownership over all aspects of your work . What are we looking for We are looking for an engineer who is willing to tackle problems with innovative ideas and quality technical implementations . We believe the perfect candidate isnt interested in just what were building right now but wants to understand where were going and how it impacts the customer to ensure everything we create moves us closer to our goal delivering the best customer experience . The ideal candidate will have Minimum of 3 years professional Java experience Strong communication skills both written and verbal Experience with Python Strong Experience with Java and Spring SpringBoot Experience with the following technologies is helpful but not required AWS Serverless and serverlesssupported languages DB ex Postgresql CocroachDB Streaming technologies Amazon Kinesis Kafka Message Queues SQS RabbitMQ ActiveMQ Willingness to work within an agile development Willingness to learn new technologies architectures and coding paradigms Experience with Sports betting and Casinos is a plus Whats in it for you We offer our employees more than just competitive compensation . Our team benefits include Competitive pay and benefits Flexible vacation allowance Flexible work from home or office hours Startup culture backed by a secure global brand Opportunity to build products enjoyed by millions as part of a passionate team Roster of Uniques We care deeply about every interaction our customers have with us and trust and empower our staff to own and drive their experience . Our vision for our business and customers is built on fostering a diverse and inclusive work environment where regardless of background or beliefs you feel able to be authentic and bring all your talent into play . We want to celebrate you being you we are an equal opportunities employer ","8400","Hard Rock Digital","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5bcccfb&cb=1716724933992&jobListingId=1009234130675&jrtk=5-yul1-0-1huqcf947m978803-6d75608c5f873503","Remote","10000+ Employees","1971","Restaurants & Food Service","United Kingdom"
"1008413922359","End to End QA Automation Testers","Description End to End QA Automation Testers x5 Remote Manchester West London 75k End to End Testers required up to 4 positions cutting edge client operating at the highest level with a near unlimited tech budget doubling in size through a global pandemic . Any experience working in Banking specifically Credit Cards will give you the edge . We seek testers who must have experience of testing top to bottom across an AWS Serverless Architecture You can work fully remote no issues . . . Technically we need VPC Subnets Route53 IAM EC2 instances ECS Lambda . API Gateway RDS DynamoDB ELBs SQS and SNS End to End Tester Excellent experience of Functional Integration Performance Testing Performance Stress Soak and NonFunctional Testing OAT Test Automation Cross Browser testing Lambda test Failover DR Usability Security and Penetration testing Thorough experience of testing in AWS environment Lambda API Gateway IAM roles Cognito users DynamoDB ALB SQSSNS etc REST APIs using SOAP UI performance testing creating volume models test strategy infrastructure testing and capacityplanning . Hiring organization Employment Type Permanent FullTime Job Location Remote work from England","8327211","TalentZone","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018fb4c7a43daba212fff6d1c374&src=GD_JOB_AD&t=SR&vt=w&cs=1_09d0ee20&cb=1716724933992&jobListingId=1008413922359&jrtk=5-yul1-0-1huqcf947m978803-559aa9efc3d1c889","Remote","Unknown","--","--","United Kingdom"
