Job ID,Job Title,Job Description,Company ID,Company Name,Location,Size,Founded,Sector
1009290134851,"Staff Engineer, US Remote","Full-time
Employee Status: Regular
Role Type: Home
Job Posting - Salary Range: $107,024 - $192,644
Department: Product Development
Flexible Time Off: 20 Days
Schedule: Full Time
Shift: Day Shift

Company Description",42406,Experian,United States,10000+ Employees,1980,Management & Consulting
1009290103527,Backend Developer G6075,"What You'll Do
Develop robust error-handling mechanisms to ensure the resilience of applications.
Implement effective logging and monitoring solutions for timely error detection and resolution.
Analyze and troubleshoot issues to provide quick and efficient resolutions.
Maintain and enhance existing applications to meet evolving business requirements.
Optimize Java Virtual Machine (JVM) sizing for improved performance and resource utilization.
Manage application configurations and ensure proper version control.
Work with cloud-based solutions and containerization technologies to deploy and scale applications.
What You Know",283112,Nisum,"Pleasanton, CA",1001 to 5000 Employees,2000,Information Technology
1009290240948,Senior Software Engineer,"Company Overview
Here at UKG, our purpose is people™. Our HR, payroll, and workforce management solutions help organizations unlock happier outcomes for all. And our U Krewers, who build those solutions and support our business, are talented, collaborative, and innovative problem-solvers. We strive to create a culture of belonging and an employee experience that empowers our people – both at work and at home. Our benefits show that we care about the whole you, from adoption and surrogacy assistance to tuition reimbursement and wellness programs. Our employee resource groups provide a welcoming place to land, learn, and connect with those who share your passions and interests. What are you waiting for?
Description & Qualifications
Description
About the role:

UKG is seeking a motivated Senior Software Engineer to help develop best-in-class HR, payroll, and workforce management solutions that help organizations unlock happier outcomes for all. As part of the EPIC (Engineering, Product, Innovation, and Cloud) organization, you will be challenged, supported, celebrated, and inspired to reach your full potential as an early career professional. We value every learning opportunity, experience, perspective, and skill. That’s how we push boundaries and create legendary experiences for our customers and our U Krewers. As a Senior Software Engineer, you will contribute directly to the goals of our product teams and help innovate and evolve our processes and product portfolio to meet our customers ever-changing needs. Come make an impact with the best and brightest technologists in the world!
You will play a key role in the development of new software products and features with a keen eye for detail. You will have the opportunity to work side by side with other members of the engineering team (other Software Engineers, Test Engineers, and SREs) and members from UX and Product Management to build the best-in-class products in the market.
Duties and Responsibilities:

*This position requires a hybrid in-office work arrangement with the ability to work 3 days per week in a UKG office (Weston – FL)*",7900,UKG (Ultimate Kronos Group),"Weston, FL",10000+ Employees,2020,Information Technology
1009290221652,Director of Engineering,"Imagine working at Intellibus to engineer platforms that impact billions of lives around the world. With your passion and focus we will accomplish great things together!
We are looking forward to you joining our Platform Engineering Team.
Our Platform Engineering Team is working to solve the Multiplicity Problem. We are trusted by some of the most reputable and established FinTech Firms. Recently, our team has spearheaded the Conversion & Go Live of apps which support the backbone of the Financial Trading Industry.
We are looking for Architects who can
Assess customer business and technical requirements, define scope and provide estimates for solutions across numerous verticals and industries.
Provide technical expertise in Solution Architecture, Development and Technical Design decisions.",3090799,Intellibus,"Plano, TX",Unknown,2015,Information Technology
1009290262806,Digital Architect,"Role: Architect – MongoDB, Kafka and Java Microservices
Proficiency in MongoDB, understanding of NoSQL databases, familiarity with database design and architecture principles.
Work on MongoDB for framework and other data analytics data ingest from different sources system.
Query Optimization: Analyze and optimize MongoDB queries for performance efficiency.
Index Management: Create and manage indexes to improve query performance.
Collaboration with Developers: Work closely with software developers to integrate MongoDB effectively within applications and to understand and fulfill data storage requirements.",0,sdna global,"Charlotte, NC",NA,NA,NA
1009290178990,Test Auto Engineer,"TITLE: Test Auto Engineer
LOCATION: Washington, DC/ Hybrid
MINIMUM EDUCATION: Bachelor’s degree in IT, related field, or equivalent experience.
REQUIRED EXPERIENCE: 4 years
INTERVIEWS: Webcam Only

Short Description: Test Auto Engineer
*Hybrid position, currently required to be on-site at least once every two weeks although there's a chance on-site reporting could increase*
*Candidates must live within a 2-hour drive of Washington DC*
Complete Description: The candidate is responsible for the design, development, and execution of automated tests for distributed enterprise applications with external and internal interfaces utilizing Microservices and business automation patterns. As an active participant on a scrum team, the candidate is responsible for all aspects of quality assurance including test automation, and the development of automated processes within a testing framework. This role works closely with software engineers, fellow QA engineers, DevOps engineers, and infrastructure and security professionals. Flexibility to work collaboratively and knowledgeably with team members in each area is vital. The candidate documents and works to resolve problems reports progress on problem resolution, devises improvements to current procedures, and develops models of possible future configurations. The candidate will focus on the automation for testing of the software built on a technology stack using industry-standard tools. This candidate must have exceptional communication skills and be flexible and knowledgeable about technology, environment, and priorities.",610948,AHU Technologies Inc,"Washington, DC",1 to 50 Employees,--,Information Technology
1009290189575,System Administrator,"uPerform – the fastest and easiest solution to help enterprises and health care organizations rapidly create, manage, and distribute targeted learning content, is looking for a System Administrator to join our Information Technology team.

The ideal candidate should have strong technology skills with a positive attitude and willingness to work with both new and existing technologies. The System Administrator will be responsible for providing daily technical support to all global employees, maintaining endpoints, managing internal servers and network, and managing AD and federated authentication. The System Administrator will be the first point of contact for issues reported to the IT team and will collaborate with other team members to achieve quick resolution.

Duties and Responsibilities:",456855,Ancile Solutions Inc,"Elkridge, MD",51 to 200 Employees,2010,Information Technology
1009290149832,Full Stack Developer,"Full Stack Developer
The Opportunity:
Are you looking for an opportunity to not just develop software, but to build a system that will support critical DoD missions? As a full-stack developer, you can solve a problem with a complete end-to-end solution in a fast-paced, Agile environment. We’re looking for a developer with the advanced skills needed to build applications from vision to production-ready system.

This role is more than just coding. We need a full-stack developer who will use their passion to learn new tools and techniques, identify and implement system improvements, and mentor teammates. On our team, you’ll help customers overcome their most difficult challenges using the latest architectural approaches like microservices. Using Agile lifecycle development, modern JavaScript frameworks, Node, and AWS, you’ll build a series of applications to support the mission. You’ll analyze the needs and the environment to make sure the solution you’re developing considers the current architecture and operating environment, as well as future functionality and enhancements. Work with us as we shape systems for the better.

Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $67,700.00 to $154,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees. This posting will close within 90 days from the Posting Date.",2735,Booz Allen,"Washington, DC",10000+ Employees,1914,Management & Consulting
1009290219193,Full Stack Java Developer,"Requirements:
We are seeking a strong Java Developer to join our ETF Technology Team. Must have thorough and demonstrative knowledge
on designing/architecting micro-service based application platform.
The ideal candidate would have –
3+ years of experience in Angular
7+ years of experience in Java/JEE, Spring, Spring boot
5+ years of experience in Microservices / Rest API / SQL
At least 5 years of experience in designing/building transactional systems with leading RDBMS (SQL Server, Oracle etc.)
At least 3 year of experience in Git/GitLab, Jenkins/Team City.
Knowledge & experience implementing TDD, Test Automation with Selenium & Jasmine
Experience in Conducting automated testing, CI/CD and Dev Ops
At least 5 years of experience in Project life cycle activities on development and maintenance projects.
Knowledge & experience in Agile/Scrum framework
Team player with an ability to work collaboratively in a global team
Required Skills/Experience 1. 7+ years of experience
as a full stack java
developer
2. API Development
3. Spring boot and
microservices on the
backend
Preferred Skills/Experience 1. Excellent problem-
solving and analytical
skills
2. Strong communication
and collaboration skills
3. Ability to work
independently and as
part of a team in a fast-
paced environment
Required
Software/Technology
1. At least 3-4 years of UI
development with
Angular
2. DB design, SQL, and exp
Preferred
Software/Technology
1. TDD experience is
preferred",3052328,Upward Talent,"Myrtle Point, OR",51 to 200 Employees,--,Human Resources & Staffing
1009290204489,VP of Engineering,"Imagine working at Intellibus to engineer platforms that impact billions of lives around the world. With your passion and focus we will accomplish great things together!
We are looking forward to you joining our Platform Engineering Team.
Our Platform Engineering Team is working to solve the Multiplicity Problem. We are trusted by some of the most reputable and established FinTech Firms. Recently, our team has spearheaded the Conversion & Go Live of apps which support the backbone of the Financial Trading Industry.
We are looking for Architects who can
Assess customer business and technical requirements, define scope and provide estimates for solutions across numerous verticals and industries.
Provide technical expertise in Solution Architecture, Development and Technical Design decisions.",3090799,Intellibus Ventures LLC,"Alpharetta, GA",Unknown,2015,Information Technology
