"id","question_id","domain","like_num","created_date","scrap_date","content"
77032391,77024572,"stackoverflow.com",1,"2023-09-03 16:14:07+03","2024-05-17 04:30:19.036017+03","Lambda is the only service afaik that can If the longrunning task can complete within the Lambda 15 minute max timeout then use Lambda Note that with increased RAM Lambda functions get more allocated CPU and network bandwidth so they can accomplish more in 15 minutes In this scenario note that API Gateway has an integration timeout of 29 seconds for Lambda function so the Lambda function initially invoked by API Gateway would have to asynchronously invoke a 2nd Lambda function to perform the longrunning task If the task takes longer than 15 minutes can it be split into multiple subtasks each of which completes in under 15 minutes If so then look at Step Functions with multiple concurrent or serial Lambda functions Otherwise it sounds like you may need a different compute solution for example ECS or EC2 Both EC2 and ECSbased persistent solutions will have some ongoing cost however Another option for tasks that do not fit in Lambdas 15 minute timeout may be to consider creating some orchestration that can run your task on a newlylaunched EC2 instance which autoterminates when the task is complete thus you are only paying for EC2 when needed This option is a little more complex because you have to orchestrate it e g by triggering a Lambda function to launch an EC2 instance pass the task specification to that EC2 instance e g in launchtime userdata script or via SMS Run Command monitor for success collect the output autoterminate the instance when complete and handle retriesfailures "
77819457,77819298,"stackoverflow.com",0,"2024-01-15 13:25:35+02","2024-05-17 04:30:22.00376+03","Solved Using include parameter"
77959424,77959246,"stackoverflow.com",1,"2024-02-08 07:23:51+02","2024-05-17 04:30:23.867868+03","The certificate is for global CloudFront infrastructure which resides not in a single region but in all regions useast1 is AWS main region and is where you need to create most stuff thats used globally "
67879769,67877704,"stackoverflow.com",0,"2021-06-08 02:33:18+03","2024-05-17 04:30:26.251894+03","I simple destroyed the table using the zappadjangoutils command The tricky part was to create a new admin user Since I replaced the auth model with the accounts model I had to use the raw python command Typically the custom user model should be implemented before any migrations as many things are related to the User model So dropping all the tables were inevitable though I tried to avoid it "
68010358,68007065,"stackoverflow.com",2,"2021-06-17 00:42:43+03","2024-05-17 04:30:27.248274+03","There is an open pull request that is ready to merge but needs additional user testing The older project has a pull request that claims layer support has been merged Feel free to try it out and let the maintainers know so documentation can be updated "
68155239,68137613,"stackoverflow.com",1,"2021-06-28 00:06:45+03","2024-05-17 04:30:28.197507+03","One of the primary uses of Zappa is to allow the migration of an existing Django project into AWS Lambda So moving your REST API to be serverless is an excellent use case for Zappa In addition Zappa generally is compatible with older versions of Django The issue you are encountering is that AWS Lambda functions must be under 50MB compressed and 250MB uncompressed Zappa offers a workaround using the slim_handler option that allows your project to approach 512MB uncompressed To determine how much disk space your current project requires uncompressed you may run the following Zappa command And Zappa will generate a zip file of your Django project Then you can uncompress the zip file and determine the disk space requirements If you require more than 512MB of disk space then your only option is to use the AWS Lambda Container Image Support feature that was introduced recently at least when this answer was written Zappa version 0 53 0 supports this feature Instructions on how to leverage this are not yet in the Zappa documentation so the best guide right now can be found at Ian Whitestones blog On the topic of performance for AWS Lambda and heaviness of an existing Django application Putting your Django app in AWS Lambda environment is like installing a bigger engine in a car You may find that your Django applications perform better in AWS "
68191556,68176733,"stackoverflow.com",8,"2021-06-30 11:56:06+03","2024-05-17 04:30:29.919479+03","There is already an issue in the zappa github httpsgithub comzappaZappaissues995 The problem is that zappa adds setuptools to its dependencies but the latest release of piptools 6 2 0 does the same now As a quick fix you can pin piptools to version 6 1 0 in your requirements txt"
68391622,68391621,"stackoverflow.com",18,"2021-07-15 12:53:11+03","2024-05-17 04:30:31.952529+03","Since version 3 0 0 the package troposphere removed the deprecated Template methods see the changelog Breaking changes Python 3 6 Python 2 x and earlier Python 3 x support is now deprecated due to Python EOL Remove previously deprecated Template methods The above issue can be fixed by adding troposphere3 in the requirements file "
69122216,68391621,"stackoverflow.com",1,"2021-09-09 20:06:06+03","2024-05-17 04:30:31.95453+03","The answer by nbeuchat might not work for everyone an alternative solution that might help would be to change the line in venvlibpython3 6 or 78 etc sitepackageszappacore py from add_description to set_description Troposphere updated add_description to set_description along with other previously deprecated template methods which is why you see the problem Source"
66512824,65550786,"stackoverflow.com",0,"2021-03-07 05:06:51+02","2024-05-17 04:30:35.910573+03","you can rerun arkade install again with new parameters and it will upgrade If you want to test in a safe space use ark get kind and then use kind to build a test cluster on your local That is what I did to get the output below Background Under the hood arkade uses Helm to manage applications installed into kubernetes clusters and Helm can do in place upgrades Below is an example Before with 1 gateway replica Upgrading to 2 gateway replicas The output for arkade install will show you the actual Helm command used In this case helm upgrade install which will install if the app does not exist and upgrade if it does Here you will see two gateway pods"
